,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,title,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,Indoor-0-20260423-08:34:37-21372,HospitalNet.host[1].app[0],pingRxSeq:vector,[  5.00085819   5.00199038   5.00223448   6.00035409   7.00071408   8.00075408   9.00035407  10.00069407  11.00071406  12.00033406  13.00049405  14.00041405  15.00061405  16.00061404  17.00083404  18.00053404  19.00059404  20.00071404  21.00061405  22.00061405  23.00051405  24.00023406  25.00041406  26.00085407  27.00085407  28.00063408  29.00029408  30.00045409  31.0006941   40.00049412  41.00065412  42.00057412  43.00041412  44.00023412  53.0002341   54.00061409  55.00043408  56.00071408  57.00039407  58.00083407  59.00081406  60.00029406  61.00027405  62.00049405  63.00039405  64.00061404  65.00039404  66.00027404  67.00063404  68.00047404  69.00051405  70.00031405  71.00049405  72.00079406  73.00049406  74.00049407  75.00071407  76.00071408  77.00065408  78.00073409  79.0007941   88.00045412  89.00081412  90.00053412  91.00027412  92.00061412 101.0003941  102.00031409 103.00073408 104.00037408 105.00029407 106.00083407 107.00057406 108.00059406 109.00081405 110.00081405 111.00033405 112.00047404 113.00065404 114.00027404 115.00077404 116.00037404 117.00045405 118.00083405 119.00035405 120.00059406 121.00045406 122.00057407 123.00081407 124.00065408 125.00133817 126.00041409 127.0004541  136.00053412 137.00065412 138.00031412 139.00079412 140.00075412 149.0003741  150.00073409 151.00079408 152.00071408 153.00049407 154.00071407 155.00031406 156.00057406 157.00083405 158.00073405 159.00025405 160.00073404 161.00077404 162.00025404 163.00065404 164.00061404 165.00067405 166.00041405 167.00041405 168.00023406 169.00071406 170.00057407 171.00065407 172.00029408 173.00043408 174.00063409 175.0003141  184.00037412 185.00083412 186.00067412 187.00037412 188.00065412 197.0006941  198.00041409 199.00031408 200.00059408 201.00083407 202.00069407 203.00029406 204.00075406 205.00075405 206.00067405 207.00053405 208.00075404 209.00035404 210.00055404 211.00079404 212.00075404 213.00023405 214.00045405 215.00037405 216.00035406 217.00065406 218.00053407 219.00035407 220.00045408 221.00037408 222.00025409 223.0002741  232.00031412 233.00049412 234.00077412 235.00057412 236.00049412 245.0007141  246.00113818 247.00037408 248.00045408 249.00055407 250.00085407 251.00057406 252.00047406 253.00051405 254.00023405 255.00061405 256.00079404 257.00051404 258.00045404 259.00041404 260.00023404],[  3.   4.   5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30.  31.  40.  41.  42.  43.  44.  53.  54.  55.  56.  57.  58.  59.  60.  61.  62.  63.  64.  65.  66.  67.  68.  69.  70.  71.  72.  73.  74.  75.  76.  77.  78.  79.  88.  89.  90.  91.  92. 101. 102. 103. 104. 105. 106. 107. 108. 109. 110. 111. 112. 113. 114. 115. 116. 117. 118. 119. 120. 121. 122. 123. 124. 125. 126. 127. 136. 137. 138. 139. 140. 149. 150. 151. 152. 153. 154. 155. 156. 157. 158. 159. 160. 161. 162. 163. 164. 165. 166. 167. 168. 169. 170. 171. 172. 173. 174. 175. 184. 185. 186. 187. 188. 197. 198. 199. 200. 201. 202. 203. 204. 205. 206. 207. 208. 209. 210. 211. 212. 213. 214. 215. 216. 217. 218. 219. 220. 221. 222. 223. 232. 233. 234. 235. 236. 245. 246. 247. 248. 249. 250. 251. 252. 253. 254. 255. 256. 257. 258. 259. 260.],none,vector,ping rx seq,Indoor,20260423-08:34:37,20260423-083437,Indoor,omnetpp.ini,,,,,HospitalNet,21372,0,#0,results,0,0,,"HospitalNet.host[1].app[0], configname=Indoor"
1,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[1].app[0],pingRxSeq:vector,[  6.19679428   9.19578877  12.1959487   16.19584939  17.19590976  18.19570994  19.19610994  36.19594935  76.19595016  84.19604955  88.19600929  89.19560916  90.19594897  91.19552879  92.19570861  95.19606891 157.20383661 158.19568981 161.19576913 162.19582914 163.19572875 164.19574872 167.19570917 170.19604879 171.19586871 174.19592875 177.19580862 178.19604828 179.19608857 180.19588876 181.19586869 182.1960689  183.19602936 246.19558942 249.19558855 250.19600816 251.19602834 252.19570853 253.19558871 254.1955688  257.19548902],[  3.   6.   9.  13.  14.  15.  16.  33.  73.  81.  85.  86.  87.  88.  89.  92. 154. 155. 158. 159. 160. 161. 164. 167. 168. 171. 174. 175. 176. 177. 178. 179. 180. 243. 246. 247. 248. 249. 250. 251. 254.],none,vector,ping rx seq,Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[1].app[0], configname=Outdoor"
2,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[2].app[0],pingRxSeq:vector,[ 39.37297827  40.37211329  41.37171304  42.37175279  43.37195254  44.37217264  45.37221289  46.37189313  47.37201318 104.37219315 105.37193314 106.37173322 111.37203345 112.37197342 156.37203492 157.3719546  158.37175429 159.3724795  160.37175368 161.3718934  162.3721932  167.37199362 219.37193344 220.37195328 221.37219317],[ 36.  37.  38.  39.  40.  41.  42.  43.  44. 101. 102. 103. 108. 109. 153. 154. 155. 156. 157. 158. 159. 164. 216. 217. 218.],none,vector,ping rx seq,Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[2].app[0], configname=Outdoor"
